368.46	0.688	0.616	-295.579	-50.383	1	3.3	20.072
277.544	0.875	0.55	*	-40.373	2	3.506	20.431
*	0.675	0.444	-113.178	-42.414	3	-5.968	21.807
387.544	0.338	0.212	-197.786	-33.562	4	-20.958	20.072
*	0.912	0.812	-134.099	-22.314	5	39.204	21.807
*	0.8	0.519	-118.412	-36.108	6	8.584	21.807
302.085	0.738	0.775	-203.78	-22.069	7	19.294	20.072
330.46	*	0.412	*	-85.6	8	-28.15	21.58
366.127	0.662	0.787	-106.356	-24.258	9	29.073	20.072
200.169	0.537	0.684	-494.922	-75.061	10	-44.176	20.072
299.96	0.775	0.709	-274.017	-35.649	11	8.878	20.072
312.794	0.613	0.562	-71.813	-17.867	12	10.71	20.072
*	0.675	0.468	-102.38	-37.197	13	-1.423	21.807
366.877	0.75	0.557	-95.284	-40.995	14	14.746	20.072
338.21	0.787	0.812	-296.432	-4.841	15	32.681	20.072
356.544	0.7	0.815	-67.351	-34.262	16	28.229	20.072
*	0.613	0.544	*	-18.106	17	5.412	22.269
414.294	0.575	0.734	-305.029	-61.075	18	6.3	20.072
292.71	0.525	0.333	-183.753	-34.342	19	-19.868	20.072
234.773	0.45	0.646	-197.969	-43.517	20	-20.265	20.072
403.877	0.713	0.835	-86.675	-29.246	21	38.465	20.072
345.46	0.825	0.562	0.367	-13.592	22	30.517	20.072
215.502	0.738	0.588	-189.403	-29.617	23	-6.363	20.072
297.377	0.9	0.537	-147.266	-45.586	24	6.342	20.072
261.627	0.562	0.392	-178.585	-70.814	25	-34.653	20.072
302.294	0.7	0.762	-192.696	-24.367	26	16.352	20.072
*	0.688	0.383	*	-41.161	27	-12.406	22.269
344.585	0.675	0.312	-270.374	-51.897	28	-16.552	20.072
*	*	0.537	-236.537	-87.979	29	-32.344	23.221
296.294	0.487	0.613	-154.948	-38.171	30	-6.889	20.072
*	0.338	0.321	-101.834	-28.183	31	-25.236	21.807
289.627	*	0.325	-263.73	-44.784	32	-23.656	21.159
345.21	0.725	0.709	-236.623	-36.396	33	14.558	20.072
309.127	0.475	0.519	-263.753	-77.98	34	-31.297	20.072
351.46	0.675	0.562	-373.079	-49.14	35	-5.261	20.072
378.21	0.925	0.562	-153.452	-14.45	36	33.891	20.072
*	0.7	0.688	-141.194	-42.92	37	8.983	21.807
*	0.6	0.75	-379.016	-25.799	38	4.516	21.807
372.96	*	0.463	-130.124	-57.568	39	-1.514	21.159
*	0.65	0.658	-378.372	-21.36	40	3.856	21.807
235.96	0.637	0.57	-113.667	-36.209	41	-8.723	20.072
321.044	0.562	0.494	-186.777	-72.919	42	-21.447	20.072
267.898	0.55	0.625	-305.858	-44.708	43	-16.242	20.072
*	0.613	0.613	-51.463	-48.174	44	0.977	21.807
